id,damage,alpha,beta,tolerance,init_recovery_rate
284,0,5,0.025,0.5,4
232,0,5,0.025,0.5,4
826,0,5,0.025,0.5,4
156,0,5,0.025,0.5,4
650,0,5,0.025,0.5,4
269,0,5,0.025,0.5,4
869,0,5,0.025,0.5,4
197,0,5,0.025,0.5,4
765,0,5,0.025,0.5,4
701,0,5,0.025,0.5,4
306,0,5,0.025,0.5,4
900,0,5,0.025,0.5,4
808,0,5,0.025,0.5,4
740,0,5,0.025,0.5,4
947,0,5,0.025,0.5,4
847,0,5,0.025,0.5,4
326,0,5,0.025,0.5,4
553,0,5,0.025,0.5,4
361,0,5,0.025,0.5,4
592,0,5,0.025,0.5,4
408,0,5,0.025,0.5,4
631,0,5,0.025,0.5,4
463,0,5,0.025,0.5,4
18,0,5,0.025,0.5,4
975,0,5,0.025,0.5,4
562,0,5,0.025,0.5,4
498,0,5,0.025,0.5,4
69,0,5,0.025,0.5,4
605,0,5,0.025,0.5,4
541,0,5,0.025,0.5,4
108,0,5,0.025,0.5,4
123,0,5,0.025,0.5,4
635,0,5,0.025,0.5,4
166,0,5,0.025,0.5,4
800,0,5,0.025,0.5,4
225,0,5,0.025,0.5,4
833,0,5,0.025,0.5,4
641,0,5,0.025,0.5,4
264,0,5,0.025,0.5,4
878,0,5,0.025,0.5,4
196,0,5,0.025,0.5,4
774,0,5,0.025,0.5,4
713,0,5,0.025,0.5,4
359,0,5,0.025,0.5,4
303,0,5,0.025,0.5,4
235,0,5,0.025,0.5,4
815,0,5,0.025,0.5,4
400,0,5,0.025,0.5,4
679,0,5,0.025,0.5,4
856,0,5,0.025,0.5,4
437,0,5,0.025,0.5,4
333,0,5,0.025,0.5,4
893,0,5,0.025,0.5,4
370,0,5,0.025,0.5,4
930,0,5,0.025,0.5,4
415,0,5,0.025,0.5,4
339,0,5,0.025,0.5,4
456,0,5,0.025,0.5,4
380,0,5,0.025,0.5,4
982,0,5,0.025,0.5,4
569,0,5,0.025,0.5,4
489,0,5,0.025,0.5,4
62,0,5,0.025,0.5,4
614,0,5,0.025,0.5,4
534,0,5,0.025,0.5,4
99,0,5,0.025,0.5,4
15,0,5,0.025,0.5,4
132,0,5,0.025,0.5,4
56,0,5,0.025,0.5,4
173,0,5,0.025,0.5,4
93,0,5,0.025,0.5,4
37,0,5,0.025,0.5,4
994,0,5,0.025,0.5,4
202,0,5,0.025,0.5,4
138,0,5,0.025,0.5,4
74,0,5,0.025,0.5,4
648,0,5,0.025,0.5,4
255,0,5,0.025,0.5,4
779,0,5,0.025,0.5,4
119,0,5,0.025,0.5,4
687,0,5,0.025,0.5,4
296,0,5,0.025,0.5,4
822,0,5,0.025,0.5,4
726,0,5,0.025,0.5,4
670,0,5,0.025,0.5,4
273,0,5,0.025,0.5,4
849,0,5,0.025,0.5,4
705,0,5,0.025,0.5,4
318,0,5,0.025,0.5,4
888,0,5,0.025,0.5,4
752,0,5,0.025,0.5,4
927,0,5,0.025,0.5,4
410,0,5,0.025,0.5,4
346,0,5,0.025,0.5,4
445,0,5,0.025,0.5,4
381,0,5,0.025,0.5,4
989,0,5,0.025,0.5,4
580,0,5,0.025,0.5,4
488,0,5,0.025,0.5,4
420,0,5,0.025,0.5,4
611,0,5,0.025,0.5,4
527,0,5,0.025,0.5,4
467,0,5,0.025,0.5,4
6,0,5,0.025,0.5,4
955,0,5,0.025,0.5,4
510,0,5,0.025,0.5,4
41,0,5,0.025,0.5,4
172,0,5,0.025,0.5,4
88,0,5,0.025,0.5,4
211,0,5,0.025,0.5,4
143,0,5,0.025,0.5,4
242,0,5,0.025,0.5,4
178,0,5,0.025,0.5,4
788,0,5,0.025,0.5,4
114,0,5,0.025,0.5,4
285,0,5,0.025,0.5,4
917,0,5,0.025,0.5,4
221,0,5,0.025,0.5,4
829,0,5,0.025,0.5,4
661,0,5,0.025,0.5,4
268,0,5,0.025,0.5,4
858,0,5,0.025,0.5,4
762,0,5,0.025,0.5,4
698,0,5,0.025,0.5,4
315,0,5,0.025,0.5,4
911,0,5,0.025,0.5,4
480,0,5,0.025,0.5,4
743,0,5,0.025,0.5,4
952,0,5,0.025,0.5,4
513,0,5,0.025,0.5,4
321,0,5,0.025,0.5,4
558,0,5,0.025,0.5,4
390,0,5,0.025,0.5,4
587,0,5,0.025,0.5,4
427,0,5,0.025,0.5,4
620,0,5,0.025,0.5,4
460,0,5,0.025,0.5,4
29,0,5,0.025,0.5,4
970,0,5,0.025,0.5,4
501,0,5,0.025,0.5,4
66,0,5,0.025,0.5,4
546,0,5,0.025,0.5,4
111,0,5,0.025,0.5,4
599,0,5,0.025,0.5,4
152,0,5,0.025,0.5,4
640,0,5,0.025,0.5,4
185,0,5,0.025,0.5,4
793,0,5,0.025,0.5,4
230,0,5,0.025,0.5,4
828,0,5,0.025,0.5,4
158,0,5,0.025,0.5,4
652,0,5,0.025,0.5,4
259,0,5,0.025,0.5,4
867,0,5,0.025,0.5,4
199,0,5,0.025,0.5,4
767,0,5,0.025,0.5,4
753,0,5,0.025,0.5,4
354,0,5,0.025,0.5,4
308,0,5,0.025,0.5,4
898,0,5,0.025,0.5,4
240,0,5,0.025,0.5,4
802,0,5,0.025,0.5,4
738,0,5,0.025,0.5,4
674,0,5,0.025,0.5,4
845,0,5,0.025,0.5,4
328,0,5,0.025,0.5,4
892,0,5,0.025,0.5,4
367,0,5,0.025,0.5,4
590,0,5,0.025,0.5,4
406,0,5,0.025,0.5,4
625,0,5,0.025,0.5,4
449,0,5,0.025,0.5,4
20,0,5,0.025,0.5,4
977,0,5,0.025,0.5,4
568,0,5,0.025,0.5,4
500,0,5,0.025,0.5,4
59,0,5,0.025,0.5,4
607,0,5,0.025,0.5,4
539,0,5,0.025,0.5,4
106,0,5,0.025,0.5,4
10,0,5,0.025,0.5,4
953,0,5,0.025,0.5,4
125,0,5,0.025,0.5,4
168,0,5,0.025,0.5,4
207,0,5,0.025,0.5,4
835,0,5,0.025,0.5,4
809,0,5,0.025,0.5,4
643,0,5,0.025,0.5,4
262,0,5,0.025,0.5,4
876,0,5,0.025,0.5,4
776,0,5,0.025,0.5,4
684,0,5,0.025,0.5,4
297,0,5,0.025,0.5,4
233,0,5,0.025,0.5,4
729,0,5,0.025,0.5,4
398,0,5,0.025,0.5,4
665,0,5,0.025,0.5,4
854,0,5,0.025,0.5,4
435,0,5,0.025,0.5,4
335,0,5,0.025,0.5,4
883,0,5,0.025,0.5,4
376,0,5,0.025,0.5,4
932,0,5,0.025,0.5,4
413,0,5,0.025,0.5,4
341,0,5,0.025,0.5,4
442,0,5,0.025,0.5,4
378,0,5,0.025,0.5,4
