id,from_node_id,to_node_id,status
1,284,244,1
2,244,284,1
3,284,285,1
4,285,284,1
5,284,324,1
6,324,284,1
7,284,283,1
8,283,284,1
9,232,231,1
10,231,232,1
11,232,192,1
12,192,232,1
13,232,272,1
14,272,232,1
15,232,233,1
16,233,232,1
17,826,866,1
18,866,826,1
19,826,786,1
20,786,826,1
21,826,827,1
22,827,826,1
23,826,825,1
24,825,826,1
25,156,157,1
26,157,156,1
27,156,155,1
28,155,156,1
29,156,116,1
30,116,156,1
31,156,196,1
32,196,156,1
33,650,651,1
34,651,650,1
35,650,649,1
36,649,650,1
37,650,690,1
38,690,650,1
39,650,610,1
40,610,650,1
41,269,309,1
42,309,269,1
43,269,268,1
44,268,269,1
45,269,229,1
46,229,269,1
47,269,270,1
48,270,269,1
49,869,909,1
50,909,869,1
51,869,829,1
52,829,869,1
53,869,870,1
54,870,869,1
55,869,868,1
56,868,869,1
57,197,198,1
58,198,197,1
59,197,237,1
60,237,197,1
61,197,157,1
62,157,197,1
63,197,196,1
64,196,197,1
65,765,805,1
66,805,765,1
67,765,766,1
68,766,765,1
69,765,725,1
70,725,765,1
71,765,764,1
72,764,765,1
73,701,702,1
74,702,701,1
75,701,700,1
76,700,701,1
77,701,741,1
78,741,701,1
79,701,661,1
80,661,701,1
81,306,346,1
82,346,306,1
83,306,266,1
84,266,306,1
85,306,305,1
86,305,306,1
87,306,307,1
88,307,306,1
89,900,940,1
90,940,900,1
91,900,899,1
92,899,900,1
93,900,901,1
94,901,900,1
95,900,860,1
96,860,900,1
97,808,768,1
98,768,808,1
99,808,848,1
100,848,808,1
101,808,807,1
102,807,808,1
103,808,809,1
104,809,808,1
105,740,741,1
106,741,740,1
107,740,700,1
108,700,740,1
109,740,780,1
110,780,740,1
111,740,739,1
112,739,740,1
113,947,948,1
114,948,947,1
115,947,907,1
116,907,947,1
117,947,987,1
118,987,947,1
119,947,946,1
120,946,947,1
121,847,846,1
122,846,847,1
123,847,848,1
124,848,847,1
125,847,807,1
126,807,847,1
127,847,887,1
128,887,847,1
129,326,327,1
130,327,326,1
131,326,366,1
132,366,326,1
133,326,286,1
134,286,326,1
135,326,325,1
136,325,326,1
137,553,554,1
138,554,553,1
139,553,552,1
140,552,553,1
141,553,593,1
142,593,553,1
143,553,513,1
144,513,553,1
145,361,401,1
146,401,361,1
147,361,321,1
148,321,361,1
149,361,362,1
150,362,361,1
151,592,593,1
152,593,592,1
153,592,552,1
154,552,592,1
155,592,632,1
156,632,592,1
157,592,591,1
158,591,592,1
159,408,448,1
160,448,408,1
161,408,407,1
162,407,408,1
163,408,409,1
164,409,408,1
165,408,368,1
166,368,408,1
167,631,671,1
168,671,631,1
169,631,630,1
170,630,631,1
171,631,632,1
172,632,631,1
173,631,591,1
174,591,631,1
175,463,464,1
176,464,463,1
177,463,423,1
178,423,463,1
179,463,503,1
180,503,463,1
181,463,462,1
182,462,463,1
183,18,17,1
184,17,18,1
185,18,58,1
186,58,18,1
187,18,19,1
188,19,18,1
189,975,935,1
190,935,975,1
191,975,974,1
192,974,975,1
193,975,976,1
194,976,975,1
195,562,522,1
196,522,562,1
197,562,563,1
198,563,562,1
199,562,561,1
200,561,562,1
201,562,602,1
202,602,562,1
203,498,538,1
204,538,498,1
205,498,499,1
206,499,498,1
207,498,458,1
208,458,498,1
209,498,497,1
210,497,498,1
211,69,70,1
212,70,69,1
213,69,68,1
214,68,69,1
215,69,109,1
216,109,69,1
217,69,29,1
218,29,69,1
219,605,565,1
220,565,605,1
221,605,606,1
222,606,605,1
223,605,604,1
224,604,605,1
225,605,645,1
226,645,605,1
227,541,581,1
228,581,541,1
229,541,501,1
230,501,541,1
231,541,542,1
232,542,541,1
233,541,540,1
234,540,541,1
235,108,109,1
236,109,108,1
237,108,68,1
238,68,108,1
239,108,148,1
240,148,108,1
241,108,107,1
242,107,108,1
243,123,163,1
244,163,123,1
245,123,122,1
