id,from_node_id,to_node_id,status
1,1,9,1
2,9,1,1
3,1,12,1
4,12,1,1
5,1,4,1
6,4,1,1
7,1,97,1
8,97,1,1
9,1,82,1
10,82,1,1
11,2,34,1
12,34,2,1
13,2,7,1
14,7,2,1
15,2,49,1
16,49,2,1
17,2,17,1
18,17,2,1
19,2,21,1
20,21,2,1
21,2,90,1
22,90,2,1
23,2,62,1
24,62,2,1
25,3,34,1
26,34,3,1
27,3,69,1
28,69,3,1
29,3,15,1
30,15,3,1
31,3,82,1
32,82,3,1
33,4,53,1
34,53,4,1
35,4,70,1
36,70,4,1
37,4,78,1
38,78,4,1
39,5,90,1
40,90,5,1
41,5,77,1
42,77,5,1
43,5,6,1
44,6,5,1
45,5,98,1
46,98,5,1
47,6,39,1
48,39,6,1
49,6,47,1
50,47,6,1
51,6,84,1
52,84,6,1
53,6,29,1
54,29,6,1
55,6,30,1
56,30,6,1
57,7,99,1
58,99,7,1
59,7,72,1
60,72,7,1
61,7,77,1
62,77,7,1
63,7,94,1
64,94,7,1
65,7,56,1
66,56,7,1
67,7,59,1
68,59,7,1
69,7,91,1
70,91,7,1
71,8,67,1
72,67,8,1
73,8,9,1
74,9,8,1
75,8,78,1
76,78,8,1
77,8,54,1
78,54,8,1
79,8,26,1
80,26,8,1
81,8,86,1
82,86,8,1
83,9,37,1
84,37,9,1
85,9,41,1
86,41,9,1
87,9,14,1
88,14,9,1
89,9,47,1
90,47,9,1
91,9,80,1
92,80,9,1
93,9,83,1
94,83,9,1
95,9,21,1
96,21,9,1
97,10,85,1
98,85,10,1
99,10,82,1
100,82,10,1
101,10,13,1
102,13,10,1
103,11,35,1
104,35,11,1
105,11,99,1
106,99,11,1
107,11,49,1
108,49,11,1
109,11,58,1
110,58,11,1
111,11,27,1
112,27,11,1
113,11,91,1
114,91,11,1
115,11,96,1
116,96,11,1
117,12,65,1
118,65,12,1
119,12,85,1
120,85,12,1
121,12,97,1
122,97,12,1
123,12,74,1
124,74,12,1
125,13,65,1
126,65,13,1
127,13,98,1
128,98,13,1
129,13,69,1
130,69,13,1
131,13,44,1
132,44,13,1
133,13,78,1
134,78,13,1
135,13,79,1
136,79,13,1
137,13,56,1
138,56,13,1
139,14,65,1
140,65,14,1
141,14,67,1
142,67,14,1
143,14,46,1
144,46,14,1
145,14,40,1
146,40,14,1
147,15,68,1
148,68,15,1
149,15,17,1
150,17,15,1
151,15,51,1
152,51,15,1
153,15,85,1
154,85,15,1
155,15,62,1
156,62,15,1
157,15,64,1
158,64,15,1
159,16,45,1
160,45,16,1
