id,from_node_id,to_node_id,status
1,1,273,1
2,273,1,1
3,1,84,1
4,84,1,1
5,2,385,1
6,385,2,1
7,2,419,1
8,419,2,1
9,2,52,1
10,52,2,1
11,2,164,1
12,164,2,1
13,2,112,1
14,112,2,1
15,3,241,1
16,241,3,1
17,3,381,1
18,381,3,1
19,3,357,1
20,357,3,1
21,3,319,1
22,319,3,1
23,4,68,1
24,68,4,1
25,4,328,1
26,328,4,1
27,4,142,1
28,142,4,1
29,4,182,1
30,182,4,1
31,4,473,1
32,473,4,1
33,4,60,1
34,60,4,1
35,5,58,1
36,58,5,1
37,5,116,1
38,116,5,1
39,5,487,1
40,487,5,1
41,5,216,1
42,216,5,1
43,5,72,1
44,72,5,1
45,6,225,1
46,225,6,1
47,6,327,1
48,327,6,1
49,6,74,1
50,74,6,1
51,6,460,1
52,460,6,1
53,6,271,1
54,271,6,1
55,6,466,1
56,466,6,1
57,6,52,1
58,52,6,1
59,6,415,1
60,415,6,1
61,7,347,1
62,347,7,1
63,7,36,1
64,36,7,1
65,8,59,1
66,59,8,1
67,8,92,1
68,92,8,1
69,8,69,1
70,69,8,1
71,8,478,1
72,478,8,1
73,8,252,1
74,252,8,1
75,9,275,1
76,275,9,1
77,9,149,1
78,149,9,1
79,9,487,1
80,487,9,1
81,10,73,1
82,73,10,1
83,10,121,1
84,121,10,1
85,10,492,1
86,492,10,1
87,10,95,1
88,95,10,1
89,10,130,1
90,130,10,1
91,11,34,1
92,34,11,1
93,11,358,1
94,358,11,1
95,11,450,1
96,450,11,1
97,11,303,1
98,303,11,1
99,11,218,1
100,218,11,1
101,11,442,1
102,442,11,1
103,12,465,1
104,465,12,1
105,12,489,1
106,489,12,1
107,12,292,1
108,292,12,1
109,12,157,1
110,157,12,1
111,12,312,1
112,312,12,1
113,13,163,1
114,163,13,1
115,13,335,1
116,335,13,1
117,14,70,1
118,70,14,1
119,14,391,1
120,391,14,1
121,14,22,1
122,22,14,1
123,14,151,1
124,151,14,1
125,14,251,1
126,251,14,1
127,14,252,1
128,252,14,1
129,14,382,1
130,382,14,1
131,14,96,1
132,96,14,1
133,15,97,1
134,97,15,1
135,15,100,1
136,100,15,1
137,15,166,1
138,166,15,1
139,15,397,1
140,397,15,1
141,15,463,1
142,463,15,1
143,15,208,1
144,208,15,1
145,15,152,1
146,152,15,1
147,15,477,1
148,477,15,1
149,16,282,1
150,282,16,1
151,16,363,1
152,363,16,1
153,16,181,1
154,181,16,1
155,16,322,1
156,322,16,1
157,17,290,1
158,290,17,1
159,17,60,1
160,60,17,1
161,17,117,1
162,117,17,1
163,18,475,1
164,475,18,1
165,18,252,1
166,252,18,1
167,18,159,1
168,159,18,1
169,19,470,1
170,470,19,1
171,19,79,1
172,79,19,1
173,20,249,1
174,249,20,1
175,20,458,1
176,458,20,1
177,20,62,1
178,62,20,1
179,20,214,1
180,214,20,1
181,21,50,1
182,50,21,1
183,21,350,1
184,350,21,1
185,21,296,1
186,296,21,1
187,22,235,1
188,235,22,1
189,22,120,1
190,120,22,1
191,22,334,1
192,334,22,1
193,22,80,1
194,80,22,1
195,23,259,1
196,259,23,1
197,23,223,1
198,223,23,1
199,24,500,1
200,500,24,1
201,24,261,1
202,261,24,1
203,24,142,1
204,142,24,1
205,24,415,1
206,415,24,1
207,24,128,1
208,128,24,1
209,25,343,1
210,343,25,1
211,25,416,1
212,416,25,1
213,26,355,1
214,355,26,1
215,26,108,1
216,108,26,1
217,26,102,1
218,102,26,1
219,26,486,1
220,486,26,1
221,27,114,1
222,114,27,1
223,27,35,1
224,35,27,1
225,27,259,1
226,259,27,1
227,28,134,1
228,134,28,1
229,28,472,1
230,472,28,1
231,28,201,1
232,201,28,1
233,28,108,1
234,108,28,1
235,28,115,1
236,115,28,1
237,28,244,1
238,244,28,1
239,28,182,1
240,182,28,1
241,28,376,1
242,376,28,1
243,29,417,1
244,417,29,1
245,29,489,1
246,489,29,1
247,29,187,1
248,187,29,1
249,29,352,1
250,352,29,1
251,30,216,1
252,216,30,1
253,30,240,1
254,240,30,1
255,30,214,1
256,214,30,1
257,30,447,1
258,447,30,1
259,30,176,1
260,176,30,1
261,31,210,1
262,210,31,1
263,31,488,1
264,488,31,1
265,31,357,1
266,357,31,1
267,31,378,1
268,378,31,1
269,32,202,1
270,202,32,1
271,32,255,1
272,255,32,1
273,32,256,1
274,256,32,1
275,33,450,1
276,450,33,1
277,33,85,1
278,85,33,1
279,33,490,1
280,490,33,1
281,34,199,1
282,199,34,1
283,34,113,1
284,113,34,1
285,34,179,1
286,179,34,1
287,34,117,1
288,117,34,1
289,34,382,1
290,382,34,1
291,35,404,1
292,404,35,1
293,35,302,1
294,302,35,1
295,36,202,1
296,202,36,1
297,36,339,1
298,339,36,1
299,36,468,1
300,468,36,1
301,36,367,1
302,367,36,1
303,37,409,1
304,409,37,1
305,37,473,1
306,473,37,1
307,37,456,1
308,456,37,1
309,37,40,1
310,40,37,1
311,38,194,1
312,194,38,1
313,38,421,1
314,421,38,1
315,38,239,1
316,239,38,1
317,38,115,1
318,115,38,1
319,38,215,1
320,215,38,1
321,38,282,1
322,282,38,1
323,38,351,1
324,351,38,1
325,38,480,1
326,480,38,1
327,39,105,1
328,105,39,1
329,40,358,1
330,358,40,1
331,40,359,1
332,359,40,1
333,40,75,1
334,75,40,1
335,40,396,1
336,396,40,1
337,40,463,1
338,463,40,1
339,40,306,1
340,306,40,1
341,40,312,1
342,312,40,1
343,40,474,1
344,474,40,1
345,41,57,1
346,57,41,1
347,41,218,1
348,218,41,1
349,41,187,1
350,187,41,1
351,42,225,1
352,225,42,1
353,42,130,1
354,130,42,1
355,42,163,1
356,163,42,1
357,42,421,1
358,421,42,1
359,42,294,1
360,294,42,1
361,42,423,1
362,423,42,1
363,42,80,1
364,80,42,1
365,42,349,1
366,349,42,1
367,43,170,1
368,170,43,1
369,43,211,1
370,211,43,1
371,43,245,1
372,245,43,1
373,43,182,1
374,182,43,1
375,43,181,1
376,181,43,1
377,43,59,1
378,59,43,1
379,43,255,1
380,255,43,1
381,44,418,1
382,418,44,1
383,44,485,1
384,485,44,1
385,44,230,1
386,230,44,1
387,44,73,1
388,73,44,1
389,44,105,1
390,105,44,1
391,44,251,1
392,251,44,1
393,44,379,1
394,379,44,1
395,44,223,1
396,223,44,1
397,45,249,1
398,249,45,1
399,45,67,1
400,67,45,1
401,45,108,1
402,108,45,1
403,46,249,1
404,249,46,1
405,46,50,1
406,50,46,1
407,46,75,1
408,75,46,1
409,46,331,1
410,331,46,1
411,47,497,1
412,497,47,1
413,47,106,1
414,106,47,1
415,47,362,1
416,362,47,1
417,47,295,1
418,295,47,1
419,47,168,1
420,168,47,1
421,48,289,1
422,289,48,1
423,48,417,1
424,417,48,1
425,48,285,1
426,285,48,1
427,48,94,1
428,94,48,1
429,48,351,1
430,351,48,1
431,49,450,1
432,450,49,1
433,49,411,1
434,411,49,1
435,49,84,1
436,84,49,1
437,49,190,1
438,190,49,1
439,49,384,1
440,384,49,1
441,50,386,1
442,386,50,1
443,50,168,1
444,168,50,1
445,50,396,1
446,396,50,1
447,50,243,1
448,243,50,1
449,50,87,1
450,87,50,1
451,50,319,1
452,319,50,1
453,51,247,1
454,247,51,1
455,51,388,1
456,388,51,1
457,51,173,1
458,173,51,1
459,51,150,1
460,150,51,1
461,51,223,1
462,223,51,1
463,52,305,1
464,305,52,1
465,52,451,1
466,451,52,1
467,52,357,1
468,357,52,1
469,53,483,1
470,483,53,1
471,53,364,1
472,364,53,1
473,53,222,1
474,222,53,1
475,54,193,1
476,193,54,1
477,54,329,1
478,329,54,1
479,54,330,1
480,330,54,1
481,54,147,1
482,147,54,1
483,54,246,1
484,246,54,1
485,54,216,1
486,216,54,1
487,55,387,1
488,387,55,1
489,55,491,1
490,491,55,1
491,55,269,1
492,269,55,1
493,55,79,1
494,79,55,1
495,55,306,1
496,306,55,1
497,55,437,1
498,437,55,1
499,55,185,1
500,185,55,1
501,55,284,1
502,284,55,1
503,55,478,1
504,478,55,1
505,56,161,1
506,161,56,1
507,56,323,1
508,323,56,1
509,56,166,1
510,166,56,1
511,56,493,1
512,493,56,1
513,56,175,1
514,175,56,1
515,56,211,1
516,211,56,1
517,56,186,1
518,186,56,1
519,57,263,1
520,263,57,1
521,57,460,1
522,460,57,1
523,57,120,1
524,120,57,1
525,57,89,1
526,89,57,1
527,57,315,1
528,315,57,1
529,58,181,1
530,181,58,1
531,58,499,1
532,499,58,1
533,59,258,1
534,258,59,1
535,59,355,1
536,355,59,1
537,59,272,1
538,272,59,1
539,59,340,1
540,340,59,1
541,59,247,1
542,247,59,1
543,59,363,1
544,363,59,1
545,60,225,1
546,225,60,1
547,60,203,1
548,203,60,1
549,60,396,1
550,396,60,1
551,60,78,1
552,78,60,1
553,60,183,1
554,183,60,1
555,61,66,1
556,66,61,1
557,61,389,1
558,389,61,1
559,61,199,1
560,199,61,1
561,61,200,1
562,200,61,1
563,61,148,1
564,148,61,1
565,61,438,1
566,438,61,1
567,61,375,1
568,375,61,1
569,62,225,1
570,225,62,1
571,62,427,1
572,427,62,1
573,62,397,1
574,397,62,1
575,62,339,1
576,339,62,1
577,62,64,1
578,64,62,1
579,63,260,1
580,260,63,1
581,63,299,1
582,299,63,1
583,63,79,1
584,79,63,1
585,63,433,1
586,433,63,1
587,63,436,1
588,436,63,1
589,63,252,1
590,252,63,1
591,63,128,1
592,128,63,1
593,64,482,1
594,482,64,1
595,64,336,1
596,336,64,1
597,64,148,1
598,148,64,1
599,64,181,1
600,181,64,1
601,64,480,1
602,480,64,1
603,65,265,1
604,265,65,1
605,65,154,1
606,154,65,1
607,65,435,1
608,435,65,1
609,65,356,1
610,356,65,1
611,66,291,1
612,291,66,1
613,66,332,1
614,332,66,1
615,66,236,1
616,236,66,1
617,66,82,1
618,82,66,1
619,66,276,1
620,276,66,1
621,66,478,1
622,478,66,1
623,67,129,1
624,129,67,1
625,67,225,1
626,225,67,1
627,67,290,1
628,290,67,1
629,67,396,1
630,396,67,1
631,67,143,1
632,143,67,1
633,67,469,1
634,469,67,1
635,68,291,1
636,291,68,1
637,68,104,1
638,104,68,1
639,68,205,1
640,205,68,1
641,68,239,1
642,239,68,1
643,68,304,1
644,304,68,1
645,68,369,1
646,369,68,1
647,68,118,1
648,118,68,1
649,69,152,1
650,152,69,1
651,70,452,1
652,452,70,1
653,70,393,1
654,393,70,1
655,70,366,1
656,366,70,1
657,70,312,1
658,312,70,1
659,70,92,1
660,92,70,1
661,71,203,1
662,203,71,1
663,71,484,1
664,484,71,1
665,71,381,1
666,381,71,1
667,71,462,1
668,462,71,1
669,71,287,1
670,287,71,1
671,72,82,1
672,82,72,1
673,72,260,1
674,260,72,1
675,72,295,1
676,295,72,1
677,73,196,1
678,196,73,1
679,73,422,1
680,422,73,1
681,73,205,1
682,205,73,1
683,73,112,1
684,112,73,1
685,73,433,1
686,433,73,1
687,73,188,1
688,188,73,1
689,74,281,1
690,281,74,1
691,74,442,1
692,442,74,1
693,74,324,1
694,324,74,1
695,75,170,1
696,170,75,1
697,75,464,1
698,464,75,1
699,76,284,1
700,284,76,1
701,76,466,1
702,466,76,1
703,76,212,1
704,212,76,1
705,76,127,1
706,127,76,1
707,77,267,1
708,267,77,1
709,77,433,1
710,433,77,1
711,77,345,1
712,345,77,1
713,77,277,1
714,277,77,1
715,77,185,1
716,185,77,1
717,77,373,1
718,373,77,1
719,78,455,1
720,455,78,1
721,78,103,1
722,103,78,1
723,78,136,1
724,136,78,1
725,78,428,1
726,428,78,1
727,78,366,1
728,366,78,1
729,78,79,1
730,79,78,1
731,78,336,1
732,336,78,1
733,78,469,1
734,469,78,1
735,79,263,1
736,263,79,1
737,79,306,1
738,306,79,1
739,79,372,1
740,372,79,1
741,80,332,1
742,332,80,1
743,80,105,1
744,105,80,1
745,80,248,1
746,248,80,1
747,80,309,1
748,309,80,1
749,80,183,1
750,183,80,1
751,80,280,1
752,280,80,1
753,81,265,1
754,265,81,1
755,81,354,1
756,354,81,1
757,81,211,1
758,211,81,1
759,81,449,1
760,449,81,1
761,81,342,1
762,342,81,1
763,82,485,1
764,485,82,1
765,82,336,1
766,336,82,1
767,82,306,1
768,306,82,1
769,82,154,1
770,154,82,1
771,82,255,1
772,255,82,1
773,83,399,1
774,399,83,1
775,84,401,1
776,401,84,1
777,84,301,1
778,301,84,1
779,84,247,1
780,247,84,1
781,84,381,1
782,381,84,1
783,85,193,1
784,193,85,1
785,85,196,1
786,196,85,1
787,85,354,1
788,354,85,1
789,85,409,1
790,409,85,1
791,85,219,1
792,219,85,1
793,86,452,1
794,452,86,1
795,86,469,1
796,469,86,1
797,86,376,1
798,376,86,1
799,87,385,1
800,385,87,1
801,87,386,1
802,386,87,1
803,87,274,1
804,274,87,1
805,87,361,1
806,361,87,1
807,87,271,1
808,271,87,1
809,87,401,1
810,401,87,1
811,87,450,1
812,450,87,1
813,87,341,1
814,341,87,1
815,87,481,1
816,481,87,1
817,87,314,1
818,314,87,1
819,87,277,1
820,277,87,1
821,88,138,1
822,138,88,1
823,88,140,1
824,140,88,1
825,88,357,1
826,357,88,1
827,88,312,1
828,312,88,1
829,88,200,1
830,200,88,1
831,89,324,1
832,324,89,1
