id,from_node_id,to_node_id,status
1,144,124,1
2,124,144,1
3,144,145,1
4,145,144,1
5,144,164,1
6,164,144,1
7,144,143,1
8,143,144,1
9,330,331,1
10,331,330,1
11,330,329,1
12,329,330,1
13,330,350,1
14,350,330,1
15,330,310,1
16,310,330,1
17,385,386,1
18,386,385,1
19,385,365,1
20,365,385,1
21,385,384,1
22,384,385,1
23,380,360,1
24,360,380,1
25,380,400,1
26,400,380,1
27,380,379,1
28,379,380,1
29,166,167,1
30,167,166,1
31,166,186,1
32,186,166,1
33,166,146,1
34,146,166,1
35,166,165,1
36,165,166,1
37,181,201,1
38,201,181,1
39,181,161,1
40,161,181,1
41,181,182,1
42,182,181,1
43,208,228,1
44,228,208,1
45,208,207,1
46,207,208,1
47,208,209,1
48,209,208,1
49,208,188,1
50,188,208,1
51,18,17,1
52,17,18,1
53,18,38,1
54,38,18,1
55,18,19,1
56,19,18,1
57,282,262,1
58,262,282,1
59,282,283,1
60,283,282,1
61,282,281,1
62,281,282,1
63,282,302,1
64,302,282,1
65,258,278,1
66,278,258,1
67,258,259,1
68,259,258,1
69,258,238,1
70,238,258,1
71,258,257,1
72,257,258,1
73,305,285,1
74,285,305,1
75,305,306,1
76,306,305,1
77,305,304,1
78,304,305,1
79,305,325,1
80,325,305,1
81,63,83,1
82,83,63,1
83,63,62,1
84,62,63,1
85,63,64,1
86,64,63,1
87,63,43,1
88,43,63,1
89,86,87,1
90,87,86,1
91,86,85,1
92,85,86,1
93,86,106,1
94,106,86,1
95,86,66,1
96,66,86,1
97,321,322,1
98,322,321,1
99,321,341,1
100,341,321,1
101,321,301,1
102,301,321,1
103,394,374,1
104,374,394,1
105,394,393,1
106,393,394,1
107,394,395,1
108,395,394,1
109,354,355,1
110,355,354,1
111,354,374,1
112,374,354,1
113,354,334,1
114,334,354,1
115,354,353,1
116,353,354,1
117,371,351,1
118,351,371,1
119,371,391,1
120,391,371,1
121,371,372,1
122,372,371,1
123,371,370,1
124,370,371,1
125,173,153,1
126,153,173,1
127,173,172,1
128,172,173,1
129,173,174,1
130,174,173,1
131,173,193,1
132,193,173,1
133,190,170,1
134,170,190,1
135,190,191,1
136,191,190,1
137,190,189,1
138,189,190,1
139,190,210,1
140,210,190,1
141,215,216,1
142,216,215,1
143,215,214,1
144,214,215,1
145,215,195,1
146,195,215,1
147,215,235,1
148,235,215,1
149,179,199,1
150,199,179,1
151,179,178,1
152,178,179,1
153,179,180,1
154,180,179,1
155,179,159,1
156,159,179,1
157,236,216,1
158,216,236,1
159,236,237,1
160,237,236,1
161,236,256,1
162,256,236,1
163,236,235,1
164,235,236,1
165,200,199,1
166,199,200,1
167,200,180,1
168,180,200,1
169,200,220,1
170,220,200,1
171,289,288,1
172,288,289,1
173,289,290,1
174,290,289,1
175,289,309,1
176,309,289,1
177,289,269,1
178,269,289,1
179,249,229,1
180,229,249,1
181,249,248,1
182,248,249,1
183,249,250,1
184,250,249,1
185,249,269,1
186,269,249,1
187,314,313,1
188,313,314,1
189,314,315,1
190,315,314,1
191,314,334,1
192,334,314,1
193,314,294,1
194,294,314,1
195,274,254,1
196,254,274,1
197,274,275,1
198,275,274,1
199,274,273,1
200,273,274,1
201,274,294,1
202,294,274,1
203,59,39,1
204,39,59,1
205,59,79,1
206,79,59,1
207,59,60,1
208,60,59,1
209,59,58,1
210,58,59,1
211,15,14,1
212,14,15,1
213,15,35,1
214,35,15,1
215,15,16,1
216,16,15,1
217,72,73,1
218,73,72,1
219,72,71,1
220,71,72,1
221,72,52,1
222,52,72,1
223,72,92,1
224,92,72,1
225,36,56,1
226,56,36,1
227,36,37,1
228,37,36,1
229,36,35,1
230,35,36,1
231,36,16,1
232,16,36,1
233,93,94,1
234,94,93,1
235,93,113,1
236,113,93,1
237,93,73,1
238,73,93,1
239,93,92,1
240,92,93,1
241,53,52,1
242,52,53,1
243,53,54,1
244,54,53,1
245,53,73,1
246,73,53,1
247,53,33,1
248,33,53,1
249,102,103,1
250,103,102,1
251,102,122,1
252,122,102,1
253,102,82,1
254,82,102,1
255,102,101,1
256,101,102,1
257,78,77,1
258,77,78,1
259,78,79,1
260,79,78,1
261,78,98,1
262,98,78,1
263,78,58,1
264,58,78,1
265,328,327,1
266,327,328,1
267,328,329,1
268,329,328,1
269,328,308,1
270,308,328,1
271,328,348,1
272,348,328,1
273,135,115,1
274,115,135,1
275,135,155,1
276,155,135,1
277,135,136,1
278,136,135,1
279,135,134,1
280,134,135,1
281,399,398,1
282,398,399,1
283,399,400,1
284,400,399,1
285,399,379,1
286,379,399,1
287,347,348,1
288,348,347,1
289,347,327,1
290,327,347,1
291,347,367,1
292,367,347,1
293,347,346,1
294,346,347,1
295,156,157,1
296,157,156,1
297,156,155,1
298,155,156,1
299,156,136,1
300,136,156,1
301,156,176,1
302,176,156,1
303,366,346,1
304,346,366,1
305,366,367,1
306,367,366,1
307,366,365,1
308,365,366,1
309,366,386,1
310,386,366,1
311,210,209,1
312,209,210,1
313,210,230,1
314,230,210,1
315,210,211,1
316,211,210,1
317,225,226,1
318,226,225,1
319,225,245,1
320,245,225,1
321,225,205,1
322,205,225,1
323,225,224,1
324,224,225,1
325,300,320,1
326,320,300,1
327,300,299,1
328,299,300,1
329,300,280,1
330,280,300,1
331,248,228,1
332,228,248,1
333,248,268,1
334,268,248,1
335,248,247,1
336,247,248,1
337,220,240,1
338,240,220,1
339,220,219,1
340,219,220,1
341,311,312,1
342,312,311,1
343,311,291,1
344,291,311,1
345,311,331,1
346,331,311,1
347,311,310,1
348,310,311,1
349,267,266,1
350,266,267,1
351,267,268,1
352,268,267,1
353,267,247,1
354,247,267,1
355,267,287,1
356,287,267,1
357,6,26,1
358,26,6,1
359,6,7,1
360,7,6,1
361,6,5,1
362,5,6,1
363,21,41,1
364,41,21,1
365,21,1,1
366,1,21,1
367,21,22,1
368,22,21,1
369,92,91,1
370,91,92,1
371,92,112,1
372,112,92,1
373,48,68,1
374,68,48,1
375,48,47,1
376,47,48,1
377,48,49,1
378,49,48,1
379,48,28,1
380,28,48,1
381,111,91,1
382,91,111,1
383,111,112,1
384,112,111,1
385,111,131,1
386,131,111,1
387,111,110,1
388,110,111,1
389,122,123,1
390,123,122,1
391,122,121,1
392,121,122,1
393,122,142,1
394,142,122,1
395,98,99,1
396,99,98,1
397,98,118,1
398,118,98,1
399,98,97,1
400,97,98,1
401,145,125,1
402,125,145,1
403,145,146,1
404,146,145,1
405,145,165,1
406,165,145,1
407,382,381,1
408,381,382,1
409,382,383,1
410,383,382,1
411,382,362,1
412,362,382,1
413,358,338,1
414,338,358,1
415,358,359,1
416,359,358,1
417,358,357,1
418,357,358,1
419,358,378,1
420,378,358,1
421,161,162,1
422,162,161,1
423,161,141,1
424,141,161,1
425,320,340,1
426,340,320,1
427,320,319,1
428,319,320,1
429,240,239,1
430,239,240,1
431,240,260,1
432,260,240,1
433,332,312,1
434,312,332,1
435,332,352,1
436,352,332,1
437,332,331,1
438,331,332,1
439,332,333,1
440,333,332,1
441,139,140,1
442,140,139,1
443,139,138,1
444,138,139,1
445,139,119,1
446,119,139,1
447,139,159,1
448,159,139,1
449,387,388,1
450,388,387,1
451,387,367,1
452,367,387,1
453,387,386,1
454,386,387,1
455,351,352,1
456,352,351,1
457,351,350,1
458,350,351,1
459,351,331,1
460,331,351,1
461,378,377,1
462,377,378,1
463,378,398,1
464,398,378,1
465,378,379,1
466,379,378,1
467,168,167,1
468,167,168,1
469,168,169,1
470,169,168,1
471,168,148,1
472,148,168,1
473,168,188,1
474,188,168,1
475,187,167,1
476,167,187,1
477,187,207,1
478,207,187,1
479,187,188,1
480,188,187,1
481,187,186,1
482,186,187,1
483,206,186,1
484,186,206,1
485,206,207,1
486,207,206,1
487,206,205,1
488,205,206,1
489,206,226,1
490,226,206,1
491,229,209,1
492,209,229,1
493,229,230,1
494,230,229,1
495,229,228,1
496,228,229,1
497,20,40,1
498,40,20,1
499,20,19,1
500,19,20,1
501,288,268,1
502,268,288,1
503,288,308,1
504,308,288,1
505,288,287,1
506,287,288,1
507,260,259,1
508,259,260,1
509,260,280,1
510,280,260,1
511,39,40,1
512,40,39,1
513,39,38,1
514,38,39,1
515,39,19,1
516,19,39,1
517,307,327,1
518,327,307,1
519,307,306,1
520,306,307,1
521,307,308,1
522,308,307,1
523,307,287,1
524,287,307,1
525,279,259,1
526,259,279,1
527,279,299,1
528,299,279,1
529,279,280,1
530,280,279,1
531,279,278,1
532,278,279,1
533,10,9,1
534,9,10,1
535,10,30,1
536,30,10,1
537,10,11,1
538,11,10,1
539,65,85,1
540,85,65,1
541,65,45,1
542,45,65,1
543,65,66,1
544,66,65,1
545,65,64,1
546,64,65,1
547,88,68,1
548,68,88,1
549,88,108,1
550,108,88,1
551,88,87,1
552,87,88,1
553,88,89,1
554,89,88,1
555,107,106,1
556,106,107,1
557,107,108,1
558,108,107,1
559,107,87,1
560,87,107,1
561,107,127,1
562,127,107,1
563,323,343,1
564,343,323,1
565,323,322,1
566,322,323,1
567,323,324,1
568,324,323,1
569,323,303,1
570,303,323,1
571,396,376,1
572,376,396,1
573,396,397,1
574,397,396,1
575,396,395,1
576,395,396,1
577,344,343,1
578,343,344,1
579,344,324,1
580,324,344,1
581,344,364,1
582,364,344,1
583,344,345,1
584,345,344,1
585,157,158,1
586,158,157,1
587,157,177,1
588,177,157,1
589,157,137,1
590,137,157,1
591,369,389,1
592,389,369,1
593,369,368,1
594,368,369,1
595,369,349,1
596,349,369,1
597,369,370,1
598,370,369,1
599,175,174,1
600,174,175,1
601,175,155,1
602,155,175,1
603,175,195,1
604,195,175,1
605,175,176,1
606,176,175,1
607,196,216,1
608,216,196,1
609,196,197,1
610,197,196,1
611,196,195,1
612,195,196,1
613,196,176,1
614,176,196,1
615,213,212,1
616,212,213,1
617,213,214,1
618,214,213,1
619,213,233,1
620,233,213,1
621,213,193,1
622,193,213,1
623,222,221,1
624,221,222,1
625,222,223,1
626,223,222,1
627,222,242,1
628,242,222,1
629,222,202,1
630,202,222,1
631,198,178,1
632,178,198,1
633,198,199,1
634,199,198,1
635,198,197,1
636,197,198,1
637,198,218,1
638,218,198,1
639,295,275,1
640,275,295,1
641,295,315,1
642,315,295,1
643,295,296,1
644,296,295,1
645,295,294,1
646,294,295,1
647,251,250,1
648,250,251,1
649,251,231,1
650,231,251,1
651,251,271,1
652,271,251,1
653,251,252,1
654,252,251,1
655,316,317,1
656,317,316,1
657,316,315,1
658,315,316,1
659,316,296,1
660,296,316,1
661,316,336,1
662,336,316,1
663,272,292,1
664,292,272,1
665,272,273,1
666,273,272,1
667,272,271,1
668,271,272,1
669,272,252,1
670,252,272,1
671,57,77,1
672,77,57,1
673,57,56,1
674,56,57,1
675,57,37,1
676,37,57,1
677,57,58,1
678,58,57,1
679,1,2,1
680,2,1,1
681,74,94,1
682,94,74,1
683,74,54,1
684,54,74,1
685,74,73,1
686,73,74,1
687,74,75,1
688,75,74,1
689,34,35,1
690,35,34,1
691,34,54,1
692,54,34,1
693,34,14,1
694,14,34,1
695,34,33,1
696,33,34,1
697,95,115,1
698,115,95,1
699,95,94,1
700,94,95,1
701,95,96,1
702,96,95,1
703,95,75,1
704,75,95,1
705,51,31,1
706,31,51,1
707,51,71,1
708,71,51,1
709,51,52,1
710,52,51,1
711,51,50,1
712,50,51,1
713,116,115,1
714,115,116,1
715,116,96,1
716,96,116,1
717,116,136,1
718,136,116,1
719,116,117,1
720,117,116,1
721,80,79,1
722,79,80,1
723,80,60,1
724,60,80,1
725,80,100,1
726,100,80,1
727,133,153,1
728,153,133,1
729,133,132,1
730,132,133,1
731,133,113,1
732,113,133,1
733,133,134,1
734,134,133,1
735,345,346,1
736,346,345,1
737,345,365,1
738,365,345,1
739,345,325,1
740,325,345,1
741,150,170,1
742,170,150,1
743,150,130,1
744,130,150,1
745,150,149,1
746,149,150,1
747,150,151,1
748,151,150,1
749,364,365,1
750,365,364,1
751,364,384,1
752,384,364,1
753,364,363,1
754,363,364,1
755,227,228,1
756,228,227,1
757,227,207,1
758,207,227,1
759,227,247,1
760,247,227,1
761,227,226,1
762,226,227,1
763,298,278,1
764,278,298,1
765,298,299,1
766,299,298,1
767,298,297,1
768,297,298,1
769,298,318,1
770,318,298,1
771,242,262,1
772,262,242,1
773,242,243,1
774,243,242,1
775,242,241,1
776,241,242,1
777,218,217,1
778,217,218,1
779,218,238,1
780,238,218,1
781,218,219,1
782,219,218,1
783,265,285,1
784,285,265,1
785,265,245,1
786,245,265,1
787,265,266,1
788,266,265,1
789,265,264,1
790,264,265,1
791,8,7,1
792,7,8,1
793,8,9,1
794,9,8,1
795,8,28,1
796,28,8,1
797,27,7,1
798,7,27,1
799,27,28,1
800,28,27,1
801,27,47,1
802,47,27,1
803,27,26,1
804,26,27,1
805,46,26,1
806,26,46,1
807,46,47,1
808,47,46,1
809,46,45,1
810,45,46,1
811,46,66,1
812,66,46,1
813,109,110,1
814,110,109,1
815,109,108,1
816,108,109,1
817,109,129,1
818,129,109,1
819,109,89,1
820,89,109,1
821,128,108,1
822,108,128,1
823,128,129,1
824,129,128,1
825,128,148,1
826,148,128,1
827,128,127,1
828,127,128,1
829,100,99,1
830,99,100,1
831,100,120,1
832,120,100,1
833,147,167,1
834,167,147,1
835,147,146,1
836,146,147,1
837,147,148,1
838,148,147,1
839,147,127,1
840,127,147,1
841,119,99,1
842,99,119,1
843,119,120,1
844,120,119,1
845,119,118,1
846,118,119,1
847,384,383,1
848,383,384,1
849,163,183,1
850,183,163,1
851,163,162,1
852,162,163,1
853,163,164,1
854,164,163,1
855,163,143,1
856,143,163,1
857,184,183,1
858,183,184,1
859,184,164,1
860,164,184,1
861,184,204,1
862,204,184,1
863,184,185,1
864,185,184,1
865,283,284,1
866,284,283,1
867,283,263,1
868,263,283,1
869,283,303,1
870,303,283,1
871,62,61,1
872,61,62,1
873,62,82,1
874,82,62,1
875,62,42,1
876,42,62,1
877,334,335,1
878,335,334,1
879,334,333,1
880,333,334,1
881,137,136,1
882,136,137,1
883,137,138,1
884,138,137,1
885,137,117,1
886,117,137,1
887,389,390,1
888,390,389,1
889,389,388,1
890,388,389,1
891,349,329,1
892,329,349,1
893,349,350,1
894,350,349,1
895,349,348,1
896,348,349,1
897,376,377,1
898,377,376,1
899,376,375,1
900,375,376,1
901,376,356,1
902,356,376,1
903,170,171,1
904,171,170,1
905,170,169,1
906,169,170,1
907,185,186,1
908,186,185,1
909,185,205,1
910,205,185,1
911,185,165,1
912,165,185,1
913,204,205,1
914,205,204,1
915,204,224,1
916,224,204,1
917,204,203,1
918,203,204,1
919,231,230,1
920,230,231,1
921,231,232,1
922,232,231,1
923,231,211,1
924,211,231,1
925,286,285,1
926,285,286,1
927,286,306,1
928,306,286,1
929,286,266,1
930,266,286,1
931,286,287,1
932,287,286,1
933,254,253,1
934,253,254,1
935,254,255,1
936,255,254,1
937,254,234,1
938,234,254,1
939,37,17,1
940,17,37,1
941,37,38,1
942,38,37,1
943,301,281,1
944,281,301,1
945,301,302,1
946,302,301,1
947,277,278,1
948,278,277,1
949,277,276,1
950,276,277,1
951,277,297,1
952,297,277,1
953,277,257,1
954,257,277,1
955,12,32,1
956,32,12,1
957,12,11,1
958,11,12,1
959,12,13,1
960,13,12,1
961,67,68,1
962,68,67,1
963,67,47,1
964,47,67,1
965,67,87,1
966,87,67,1
967,67,66,1
968,66,67,1
969,31,32,1
970,32,31,1
971,31,11,1
972,11,31,1
973,31,30,1
974,30,31,1
975,82,83,1
976,83,82,1
977,82,81,1
978,81,82,1
979,105,125,1
980,125,105,1
981,105,85,1
982,85,105,1
983,105,106,1
984,106,105,1
985,105,104,1
986,104,105,1
987,325,324,1
988,324,325,1
989,325,326,1
990,326,325,1
991,132,152,1
992,152,132,1
993,132,131,1
994,131,132,1
995,132,112,1
996,112,132,1
997,398,397,1
998,397,398,1
999,342,322,1
1000,322,342,1
1001,342,343,1
1002,343,342,1
1003,342,341,1
1004,341,342,1
1005,342,362,1
1006,362,342,1
1007,159,160,1
1008,160,159,1
1009,159,158,1
1010,158,159,1
1011,367,368,1
1012,368,367,1
1013,194,195,1
1014,195,194,1
1015,194,214,1
1016,214,194,1
1017,194,174,1
1018,174,194,1
1019,194,193,1
1020,193,194,1
1021,211,191,1
1022,191,211,1
1023,211,212,1
1024,212,211,1
1025,224,223,1
1026,223,224,1
1027,224,244,1
1028,244,224,1
1029,293,313,1
1030,313,293,1
1031,293,292,1
1032,292,293,1
1033,293,273,1
1034,273,293,1
1035,293,294,1
1036,294,293,1
1037,245,246,1
1038,246,245,1
1039,245,244,1
1040,244,245,1
1041,310,290,1
1042,290,310,1
1043,310,309,1
1044,309,310,1
1045,270,271,1
1046,271,270,1
1047,270,290,1
1048,290,270,1
1049,270,250,1
1050,250,270,1
1051,270,269,1
1052,269,270,1
1053,3,23,1
1054,23,3,1
1055,3,2,1
1056,2,3,1
1057,3,4,1
1058,4,3,1
1059,76,56,1
1060,56,76,1
1061,76,77,1
1062,77,76,1
1063,76,96,1
1064,96,76,1
1065,76,75,1
1066,75,76,1
1067,24,23,1
1068,23,24,1
1069,24,4,1
1070,4,24,1
1071,24,44,1
1072,44,24,1
1073,24,25,1
1074,25,24,1
1075,89,69,1
1076,69,89,1
1077,89,90,1
1078,90,89,1
1079,49,69,1
1080,69,49,1
1081,49,29,1
1082,29,49,1
1083,49,50,1
1084,50,49,1
1085,114,94,1
1086,94,114,1
1087,114,115,1
1088,115,114,1
1089,114,113,1
1090,113,114,1
1091,114,134,1
1092,134,114,1
1093,123,124,1
1094,124,123,1
1095,123,103,1
1096,103,123,1
1097,123,143,1
1098,143,123,1
1099,152,153,1
1100,153,152,1
1101,152,172,1
1102,172,152,1
1103,152,151,1
1104,151,152,1
1105,362,361,1
1106,361,362,1
1107,362,363,1
1108,363,362,1
1109,338,339,1
1110,339,338,1
1111,338,337,1
1112,337,338,1
1113,338,318,1
1114,318,338,1
1115,244,243,1
1116,243,244,1
1117,244,264,1
1118,264,244,1
1119,263,243,1
1120,243,263,1
1121,263,264,1
1122,264,263,1
1123,263,262,1
1124,262,263,1
1125,25,26,1
1126,26,25,1
1127,25,45,1
1128,45,25,1
1129,25,5,1
1130,5,25,1
1131,44,45,1
1132,45,44,1
1133,44,64,1
1134,64,44,1
1135,44,43,1
1136,43,44,1
1137,126,125,1
1138,125,126,1
1139,126,146,1
1140,146,126,1
1141,126,106,1
1142,106,126,1
1143,126,127,1
1144,127,126,1
1145,141,121,1
1146,121,141,1
1147,141,142,1
1148,142,141,1
1149,117,118,1
1150,118,117,1
1151,117,97,1
1152,97,117,1
1153,329,309,1
1154,309,329,1
1155,379,359,1
1156,359,379,1
1157,165,164,1
1158,164,165,1
1159,182,162,1
1160,162,182,1
1161,182,183,1
1162,183,182,1
1163,182,202,1
1164,202,182,1
1165,17,16,1
1166,16,17,1
1167,281,261,1
1168,261,281,1
1169,257,237,1
1170,237,257,1
1171,257,256,1
1172,256,257,1
1173,306,326,1
1174,326,306,1
1175,64,84,1
1176,84,64,1
1177,85,84,1
1178,84,85,1
1179,336,335,1
1180,335,336,1
1181,336,337,1
