id,damage,alpha,beta,tolerance,init_recovery_rate
179,0,5,0.025,0.5,4
410,0,5,0.025,0.5,4
480,0,5,0.025,0.5,4
446,0,5,0.025,0.5,4
470,0,5,0.025,0.5,4
206,0,5,0.025,0.5,4
226,0,5,0.025,0.5,4
258,0,5,0.025,0.5,4
298,0,5,0.025,0.5,4
18,0,5,0.025,0.5,4
352,0,5,0.025,0.5,4
318,0,5,0.025,0.5,4
380,0,5,0.025,0.5,4
346,0,5,0.025,0.5,4
78,0,5,0.025,0.5,4
106,0,5,0.025,0.5,4
150,0,5,0.025,0.5,4
401,0,5,0.025,0.5,4
174,0,5,0.025,0.5,4
489,0,5,0.025,0.5,4
439,0,5,0.025,0.5,4
198,0,5,0.025,0.5,4
461,0,5,0.025,0.5,4
213,0,5,0.025,0.5,4
235,0,5,0.025,0.5,4
265,0,5,0.025,0.5,4
219,0,5,0.025,0.5,4
291,0,5,0.025,0.5,4
245,0,5,0.025,0.5,4
359,0,5,0.025,0.5,4
309,0,5,0.025,0.5,4
47,0,5,0.025,0.5,4
389,0,5,0.025,0.5,4
339,0,5,0.025,0.5,4
69,0,5,0.025,0.5,4
15,0,5,0.025,0.5,4
87,0,5,0.025,0.5,4
41,0,5,0.025,0.5,4
113,0,5,0.025,0.5,4
63,0,5,0.025,0.5,4
127,0,5,0.025,0.5,4
93,0,5,0.025,0.5,4
408,0,5,0.025,0.5,4
165,0,5,0.025,0.5,4
494,0,5,0.025,0.5,4
432,0,5,0.025,0.5,4
191,0,5,0.025,0.5,4
456,0,5,0.025,0.5,4
450,0,5,0.025,0.5,4
260,0,5,0.025,0.5,4
280,0,5,0.025,0.5,4
246,0,5,0.025,0.5,4
370,0,5,0.025,0.5,4
308,0,5,0.025,0.5,4
270,0,5,0.025,0.5,4
386,0,5,0.025,0.5,4
332,0,5,0.025,0.5,4
6,0,5,0.025,0.5,4
26,0,5,0.025,0.5,4
112,0,5,0.025,0.5,4
58,0,5,0.025,0.5,4
136,0,5,0.025,0.5,4
98,0,5,0.025,0.5,4
152,0,5,0.025,0.5,4
118,0,5,0.025,0.5,4
180,0,5,0.025,0.5,4
146,0,5,0.025,0.5,4
421,0,5,0.025,0.5,4
477,0,5,0.025,0.5,4
443,0,5,0.025,0.5,4
473,0,5,0.025,0.5,4
201,0,5,0.025,0.5,4
395,0,5,0.025,0.5,4
295,0,5,0.025,0.5,4
321,0,5,0.025,0.5,4
125,0,5,0.025,0.5,4
412,0,5,0.025,0.5,4
169,0,5,0.025,0.5,4
482,0,5,0.025,0.5,4
436,0,5,0.025,0.5,4
468,0,5,0.025,0.5,4
208,0,5,0.025,0.5,4
232,0,5,0.025,0.5,4
256,0,5,0.025,0.5,4
400,0,5,0.025,0.5,4
284,0,5,0.025,0.5,4
20,0,5,0.025,0.5,4
358,0,5,0.025,0.5,4
320,0,5,0.025,0.5,4
44,0,5,0.025,0.5,4
382,0,5,0.025,0.5,4
344,0,5,0.025,0.5,4
10,0,5,0.025,0.5,4
80,0,5,0.025,0.5,4
108,0,5,0.025,0.5,4
132,0,5,0.025,0.5,4
403,0,5,0.025,0.5,4
172,0,5,0.025,0.5,4
491,0,5,0.025,0.5,4
429,0,5,0.025,0.5,4
192,0,5,0.025,0.5,4
459,0,5,0.025,0.5,4
425,0,5,0.025,0.5,4
215,0,5,0.025,0.5,4
241,0,5,0.025,0.5,4
263,0,5,0.025,0.5,4
221,0,5,0.025,0.5,4
277,0,5,0.025,0.5,4
243,0,5,0.025,0.5,4
365,0,5,0.025,0.5,4
311,0,5,0.025,0.5,4
273,0,5,0.025,0.5,4
391,0,5,0.025,0.5,4
337,0,5,0.025,0.5,4
67,0,5,0.025,0.5,4
1,0,5,0.025,0.5,4
89,0,5,0.025,0.5,4
39,0,5,0.025,0.5,4
115,0,5,0.025,0.5,4
61,0,5,0.025,0.5,4
141,0,5,0.025,0.5,4
95,0,5,0.025,0.5,4
163,0,5,0.025,0.5,4
121,0,5,0.025,0.5,4
496,0,5,0.025,0.5,4
430,0,5,0.025,0.5,4
185,0,5,0.025,0.5,4
454,0,5,0.025,0.5,4
282,0,5,0.025,0.5,4
368,0,5,0.025,0.5,4
302,0,5,0.025,0.5,4
268,0,5,0.025,0.5,4
396,0,5,0.025,0.5,4
330,0,5,0.025,0.5,4
8,0,5,0.025,0.5,4
32,0,5,0.025,0.5,4
56,0,5,0.025,0.5,4
134,0,5,0.025,0.5,4
100,0,5,0.025,0.5,4
158,0,5,0.025,0.5,4
120,0,5,0.025,0.5,4
182,0,5,0.025,0.5,4
144,0,5,0.025,0.5,4
423,0,5,0.025,0.5,4
479,0,5,0.025,0.5,4
449,0,5,0.025,0.5,4
471,0,5,0.025,0.5,4
203,0,5,0.025,0.5,4
229,0,5,0.025,0.5,4
375,0,5,0.025,0.5,4
275,0,5,0.025,0.5,4
297,0,5,0.025,0.5,4
353,0,5,0.025,0.5,4
323,0,5,0.025,0.5,4
349,0,5,0.025,0.5,4
77,0,5,0.025,0.5,4
414,0,5,0.025,0.5,4
167,0,5,0.025,0.5,4
484,0,5,0.025,0.5,4
434,0,5,0.025,0.5,4
197,0,5,0.025,0.5,4
466,0,5,0.025,0.5,4
210,0,5,0.025,0.5,4
230,0,5,0.025,0.5,4
254,0,5,0.025,0.5,4
286,0,5,0.025,0.5,4
22,0,5,0.025,0.5,4
356,0,5,0.025,0.5,4
314,0,5,0.025,0.5,4
42,0,5,0.025,0.5,4
376,0,5,0.025,0.5,4
342,0,5,0.025,0.5,4
74,0,5,0.025,0.5,4
12,0,5,0.025,0.5,4
82,0,5,0.025,0.5,4
36,0,5,0.025,0.5,4
102,0,5,0.025,0.5,4
130,0,5,0.025,0.5,4
405,0,5,0.025,0.5,4
162,0,5,0.025,0.5,4
493,0,5,0.025,0.5,4
