id,from_node_id,to_node_id,status
1,1,393,1
2,393,1,1
3,1,492,1
4,492,1,1
5,1,114,1
6,114,1,1
7,1,244,1
8,244,1,1
9,1,121,1
10,121,1,1
11,1,123,1
12,123,1,1
13,2,439,1
14,439,2,1
15,2,103,1
16,103,2,1
17,2,398,1
18,398,2,1
19,2,48,1
20,48,2,1
21,2,415,1
22,415,2,1
23,2,279,1
24,279,2,1
25,2,189,1
26,189,2,1
27,2,94,1
28,94,2,1
29,2,351,1
30,351,2,1
31,3,130,1
32,130,3,1
33,3,164,1
34,164,3,1
35,3,263,1
36,263,3,1
37,3,201,1
38,201,3,1
39,3,170,1
40,170,3,1
41,3,361,1
42,361,3,1
43,3,210,1
44,210,3,1
45,3,247,1
46,247,3,1
47,3,153,1
48,153,3,1
49,3,154,1
50,154,3,1
51,3,347,1
52,347,3,1
53,3,316,1
54,316,3,1
55,3,253,1
56,253,3,1
57,3,94,1
58,94,3,1
59,3,128,1
60,128,3,1
61,4,100,1
62,100,4,1
63,4,137,1
64,137,4,1
65,4,269,1
66,269,4,1
67,4,13,1
68,13,4,1
69,4,111,1
70,111,4,1
71,4,240,1
72,240,4,1
73,4,318,1
74,318,4,1
75,4,311,1
76,311,4,1
77,4,412,1
78,412,4,1
79,4,190,1
80,190,4,1
81,5,260,1
82,260,5,1
83,5,134,1
84,134,5,1
85,5,74,1
86,74,5,1
87,5,171,1
88,171,5,1
89,5,47,1
90,47,5,1
91,5,16,1
92,16,5,1
93,5,106,1
94,106,5,1
95,5,203,1
96,203,5,1
97,5,158,1
98,158,5,1
99,6,129,1
100,129,6,1
101,6,195,1
102,195,6,1
103,6,488,1
104,488,6,1
105,6,334,1
106,334,6,1
107,6,47,1
108,47,6,1
109,6,80,1
110,80,6,1
111,6,371,1
112,371,6,1
113,6,85,1
114,85,6,1
115,6,59,1
116,59,6,1
117,6,348,1
118,348,6,1
119,6,285,1
120,285,6,1
121,6,446,1
122,446,6,1
123,6,415,1
124,415,6,1
125,7,99,1
126,99,7,1
127,7,228,1
128,228,7,1
129,7,490,1
130,490,7,1
131,7,107,1
132,107,7,1
133,7,431,1
134,431,7,1
135,7,88,1
136,88,7,1
137,8,452,1
138,452,8,1
139,8,38,1
140,38,8,1
141,8,423,1
142,423,8,1
143,8,425,1
144,425,8,1
145,8,171,1
146,171,8,1
147,8,172,1
148,172,8,1
149,8,495,1
150,495,8,1
151,8,273,1
152,273,8,1
153,8,403,1
154,403,8,1
155,8,54,1
156,54,8,1
157,8,249,1
158,249,8,1
159,8,63,1
160,63,8,1
161,9,333,1
162,333,9,1
163,9,269,1
164,269,9,1
165,9,468,1
166,468,9,1
167,9,82,1
168,82,9,1
169,9,212,1
170,212,9,1
171,9,448,1
172,448,9,1
173,9,377,1
174,377,9,1
175,9,123,1
176,123,9,1
177,9,288,1
178,288,9,1
179,9,283,1
180,283,9,1
181,9,96,1
182,96,9,1
183,10,357,1
184,357,10,1
185,10,103,1
186,103,10,1
187,10,46,1
188,46,10,1
189,10,273,1
190,273,10,1
191,10,434,1
192,434,10,1
193,10,148,1
194,148,10,1
195,10,309,1
196,309,10,1
197,10,278,1
198,278,10,1
199,11,87,1
200,87,11,1
201,11,264,1
202,264,11,1
203,11,328,1
204,328,11,1
205,11,45,1
206,45,11,1
207,11,206,1
208,206,11,1
209,11,334,1
210,334,11,1
211,11,145,1
212,145,11,1
213,11,119,1
214,119,11,1
215,11,440,1
216,440,11,1
217,11,444,1
218,444,11,1
219,11,287,1
220,287,11,1
221,12,33,1
222,33,12,1
223,12,262,1
224,262,12,1
225,12,359,1
226,359,12,1
227,12,104,1
228,104,12,1
229,12,205,1
230,205,12,1
231,12,271,1
232,271,12,1
233,12,112,1
234,112,12,1
235,12,436,1
236,436,12,1
237,12,412,1
238,412,12,1
239,12,500,1
240,500,12,1
241,12,383,1
242,383,12,1
243,12,480,1
244,480,12,1
245,13,451,1
246,451,13,1
247,13,38,1
248,38,13,1
249,13,244,1
250,244,13,1
251,13,73,1
252,73,13,1
253,13,204,1
254,204,13,1
255,13,462,1
256,462,13,1
257,13,499,1
258,499,13,1
259,13,100,1
260,100,13,1
261,13,57,1
262,57,13,1
263,13,314,1
264,314,13,1
265,13,187,1
266,187,13,1
267,13,262,1
268,262,13,1
269,14,412,1
270,412,14,1
271,14,37,1
272,37,14,1
273,14,76,1
274,76,14,1
275,14,15,1
276,15,14,1
277,14,467,1
278,467,14,1
279,14,86,1
280,86,14,1
281,14,399,1
282,399,14,1
283,14,92,1
284,92,14,1
285,14,214,1
286,214,14,1
287,15,129,1
288,129,15,1
289,15,165,1
290,165,15,1
291,15,44,1
292,44,15,1
293,15,77,1
294,77,15,1
295,15,401,1
296,401,15,1
297,15,59,1
298,59,15,1
299,15,156,1
300,156,15,1
301,15,125,1
302,125,15,1
303,16,322,1
304,322,16,1
305,16,419,1
306,419,16,1
307,16,297,1
308,297,16,1
309,16,172,1
310,172,16,1
311,16,461,1
312,461,16,1
313,16,375,1
314,375,16,1
315,16,120,1
316,120,16,1
317,16,88,1
318,88,16,1
319,16,479,1
320,479,16,1
321,17,487,1
322,487,17,1
323,17,231,1
324,231,17,1
325,17,362,1
326,362,17,1
327,17,172,1
328,172,17,1
329,17,110,1
330,110,17,1
331,17,382,1
332,382,17,1
333,17,20,1
334,20,17,1
335,17,250,1
336,250,17,1
337,17,411,1
338,411,17,1
339,17,94,1
340,94,17,1
341,17,351,1
342,351,17,1
343,18,129,1
344,129,18,1
345,18,482,1
346,482,18,1
347,18,167,1
348,167,18,1
349,18,396,1
350,396,18,1
351,18,79,1
352,79,18,1
353,18,400,1
354,400,18,1
355,18,216,1
356,216,18,1
357,19,451,1
358,451,19,1
359,19,453,1
360,453,19,1
361,19,460,1
362,460,19,1
363,19,79,1
364,79,19,1
365,19,145,1
366,145,19,1
367,19,246,1
368,246,19,1
369,20,33,1
370,33,20,1
371,20,417,1
372,417,20,1
373,20,324,1
374,324,20,1
375,20,487,1
376,487,20,1
377,20,234,1
378,234,20,1
379,20,460,1
380,460,20,1
381,20,275,1
382,275,20,1
383,20,498,1
384,498,20,1
385,20,83,1
386,83,20,1
387,20,309,1
388,309,20,1
389,20,375,1
390,375,20,1
391,20,153,1
392,153,20,1
393,21,385,1
394,385,21,1
395,21,34,1
396,34,21,1
397,21,198,1
398,198,21,1
399,21,296,1
400,296,21,1
401,21,266,1
402,266,21,1
403,21,121,1
404,121,21,1
405,21,84,1
406,84,21,1
407,21,437,1
408,437,21,1
409,21,330,1
410,330,21,1
